ROI,Sequence,Approach,MD
Splenium,dti,dti,0.00072670844
Splenium,dti,dti,0.0007807513
Splenium,dti,dti,0.00075922057
Splenium,dti,dti,0.00073269435
Splenium,dti,dti,0.0007011024
Splenium,dti,dti,0.00067913765
Splenium,dti,dti,0.00066335755
Splenium,dti,dti,0.00069323584
Splenium,dti,dti,0.0007395675
Splenium,dti,dti,0.0007414221
Splenium,dti,dti,0.0007350053
Splenium,dti,dti,0.0007245936
Splenium,dti,dti,0.000715392
Splenium,dti,dti,0.0007172691
Splenium,dti,dti,0.00072071643
Splenium,dti,dti,0.00072978745
Splenium,dti,dti,0.00077048567
Splenium,dti,dti,0.0007823253
Splenium,dti,dti,0.00074962946
Splenium,dti,dti,0.0007029608
Splenium,dti,dti,0.0006414228
Splenium,dti,dti,0.00060111884
Splenium,dti,dti,0.0005744706
Splenium,dti,dti,0.0006226069
Splenium,dti,dti,0.0006964881
Splenium,dti,dti,0.00069679576
Splenium,dti,dti,0.0006844106
Splenium,dti,dti,0.0006886258
Splenium,dti,dti,0.000693607
Splenium,dti,dti,0.000702946
Splenium,dti,dti,0.0007144725
Splenium,dti,dti,0.0007332341
Splenium,dti,dti,0.00074514776
Splenium,dti,dti,0.0007248033
Splenium,dti,dti,0.00068603264
Splenium,dti,dti,0.00064907473
Splenium,dti,dti,0.0006027225
Splenium,dti,dti,0.0005517037
Splenium,dti,dti,0.0005873651
Splenium,dti,dti,0.0006528341
Splenium,dti,dti,0.00066361023
Splenium,dti,dti,0.0006646158
Splenium,dti,dti,0.0006746876
Splenium,dti,dti,0.00068497914
Splenium,dti,dti,0.0006954405
Splenium,dti,dti,0.0007079588
Splenium,dti,dti,0.00072666025
Splenium,dti,dti,0.0007366661
Splenium,dti,dti,0.00073147623
Splenium,dti,dti,0.0007367404
Splenium,dti,dti,0.00068379357
Splenium,dti,dti,0.00059569336
Splenium,dti,dti,0.00058812206
Splenium,dti,dti,0.0006081414
Splenium,dti,dti,0.000641601
Splenium,dti,dti,0.00067553075
Splenium,dti,dti,0.00068271824
Splenium,dti,dti,0.000689727
Splenium,dti,dti,0.00069570064
Splenium,dti,dti,0.0007023342
Splenium,dti,dti,0.0007104212
Splenium,dti,dti,0.0007177286
Splenium,dti,dti,0.0007236097
Splenium,dti,dti,0.00073502306
Splenium,dti,dti,0.0008263815
Splenium,dti,dti,0.0007021438
Splenium,dti,dti,0.0005729092
Splenium,dti,dti,0.00061094627
Splenium,dti,dti,0.0006715602
Splenium,dti,dti,0.0006774512
Splenium,dti,dti,0.00068273174
Splenium,dti,dti,0.00068598625
Splenium,dti,dti,0.00068932574
Splenium,dti,dti,0.0006926334
Splenium,dti,dti,0.0006999337
Splenium,dti,dti,0.0007138719
Splenium,dti,dti,0.0007275251
Splenium,dti,dti,0.001170886
Splenium,dti,dti,0.00088259927
Splenium,dti,dti,0.0005366474
Splenium,dti,dti,0.0005687226
Splenium,dti,dti,0.0006511614
Splenium,dti,dti,0.00065949315
Splenium,dti,dti,0.00066645094
Splenium,dti,dti,0.0006687618
Splenium,dti,dti,0.00067084585
Splenium,dti,dti,0.0006725002
Splenium,dti,dti,0.0006812033
Splenium,dti,dti,0.0007012683
Splenium,dti,dti,0.000715385
Splenium,dti,dti,0.00059806486
Splenium,dti,dti,0.00058691914
Splenium,dti,dti,0.0006288775
Splenium,dti,dti,0.0006638552
Splenium,dti,dti,0.0006602257
Splenium,dti,dti,0.0006607451
Splenium,dti,dti,0.0006723838
Splenium,dti,dti,0.0006855984
Splenium,dti,dti,0.00070126797
Splenium,dti,dti,0.0007119346
Splenium,dti,dti,0.000663755
Splenium,dti,dti,0.0005191861
Splenium,dti,dti,0.00060193293
Splenium,dti,dti,0.0006705189
Splenium,dti,dti,0.0006569202
Splenium,dti,dti,0.00065403053
Splenium,dti,dti,0.00067910546
Splenium,dti,dti,0.00069742027
Splenium,dti,dti,0.00070492225
Splenium,dti,dti,0.00071115734
Splenium,dti,dti,0.0007161675
Splenium,dti,dti,0.0007245261
Splenium,dti,dti,0.0006826289
Splenium,dti,dti,0.00068072596
Splenium,dti,dti,0.00067119085
Splenium,dti,dti,0.00066888036
Splenium,dti,dti,0.0006864961
Splenium,dti,dti,0.00069621607
Splenium,dti,dti,0.00069376733
Splenium,dti,dti,0.00069905823
Splenium,dti,dti,0.00071111607
Splenium,dti,dti,0.0007251181
Splenium,dti,dti,0.0007716632
Splenium,dti,dti,0.0006807841
Splenium,dti,dti,0.00068251515
Splenium,dti,dti,0.0006853463
Splenium,dti,dti,0.0006940139
Splenium,dti,dti,0.00069343264
Splenium,dti,dti,0.0006792746
Splenium,dti,dti,0.00068306114
Splenium,dti,dti,0.00070296554
Splenium,dti,dti,0.00072515156
Splenium,dti,dti,0.00074822776
Splenium,dti,dti,0.00063624734
Splenium,dti,dti,0.000667381
Splenium,dti,dti,0.0006887494
Splenium,dti,dti,0.00069883245
