ROI,Sequence,Approach,uFA
Splenium,NowLteDetuned,QTI,0.9629907
Splenium,NowLteDetuned,QTI,0.96253735
Splenium,NowLteDetuned,QTI,0.78447855
Splenium,NowLteDetuned,QTI,0.87738115
Splenium,NowLteDetuned,QTI,0.89815325
Splenium,NowLteDetuned,QTI,0.9172017
Splenium,NowLteDetuned,QTI,0.93246144
Splenium,NowLteDetuned,QTI,0.9507992
Splenium,NowLteDetuned,QTI,0.9704029
Splenium,NowLteDetuned,QTI,0.9746651
Splenium,NowLteDetuned,QTI,0.9716697
Splenium,NowLteDetuned,QTI,0.730499
Splenium,NowLteDetuned,QTI,0.8107495
Splenium,NowLteDetuned,QTI,0.87335604
Splenium,NowLteDetuned,QTI,0.9093329
Splenium,NowLteDetuned,QTI,0.9354765
Splenium,NowLteDetuned,QTI,0.94749975
Splenium,NowLteDetuned,QTI,0.9565232
Splenium,NowLteDetuned,QTI,0.9633173
Splenium,NowLteDetuned,QTI,0.9663292
Splenium,NowLteDetuned,QTI,0.97054064
Splenium,NowLteDetuned,QTI,0.9565733
Splenium,NowLteDetuned,QTI,0.93839264
Splenium,NowLteDetuned,QTI,0.7494828
Splenium,NowLteDetuned,QTI,0.79156804
Splenium,NowLteDetuned,QTI,0.8531531
Splenium,NowLteDetuned,QTI,0.89538497
Splenium,NowLteDetuned,QTI,0.9233152
Splenium,NowLteDetuned,QTI,0.95249134
Splenium,NowLteDetuned,QTI,0.97517616
Splenium,NowLteDetuned,QTI,0.9757497
Splenium,NowLteDetuned,QTI,0.96184295
Splenium,NowLteDetuned,QTI,0.96393085
Splenium,NowLteDetuned,QTI,0.97377205
Splenium,NowLteDetuned,QTI,0.95309234
Splenium,NowLteDetuned,QTI,0.930046
Splenium,NowLteDetuned,QTI,0.9357665
Splenium,NowLteDetuned,QTI,0.80734175
Splenium,NowLteDetuned,QTI,0.8552083
Splenium,NowLteDetuned,QTI,0.8971943
Splenium,NowLteDetuned,QTI,0.9153171
Splenium,NowLteDetuned,QTI,0.9216443
Splenium,NowLteDetuned,QTI,0.9533053
Splenium,NowLteDetuned,QTI,0.99379474
Splenium,NowLteDetuned,QTI,0.9950029
Splenium,NowLteDetuned,QTI,0.9653077
Splenium,NowLteDetuned,QTI,0.97018766
Splenium,NowLteDetuned,QTI,0.98697925
Splenium,NowLteDetuned,QTI,0.9531294
Splenium,NowLteDetuned,QTI,0.922289
Splenium,NowLteDetuned,QTI,0.9231954
Splenium,NowLteDetuned,QTI,0.8715602
Splenium,NowLteDetuned,QTI,0.8760692
Splenium,NowLteDetuned,QTI,0.91179556
Splenium,NowLteDetuned,QTI,0.9403639
Splenium,NowLteDetuned,QTI,0.9459349
Splenium,NowLteDetuned,QTI,0.9725817
Splenium,NowLteDetuned,QTI,0.9932197
Splenium,NowLteDetuned,QTI,0.9499654
Splenium,NowLteDetuned,QTI,0.91453683
Splenium,NowLteDetuned,QTI,0.9105062
Splenium,NowLteDetuned,QTI,0.90186673
Splenium,NowLteDetuned,QTI,0.7653791
Splenium,NowLteDetuned,QTI,0.77421147
Splenium,NowLteDetuned,QTI,0.84529734
Splenium,NowLteDetuned,QTI,0.91098595
Splenium,NowLteDetuned,QTI,0.950537
Splenium,NowLteDetuned,QTI,0.97273594
Splenium,NowLteDetuned,QTI,0.93636346
Splenium,NowLteDetuned,QTI,0.9086958
Splenium,NowLteDetuned,QTI,0.9097155
Splenium,NowLteDetuned,QTI,0.88936824
Splenium,NowLteDetuned,QTI,0.8292107
Splenium,NowLteDetuned,QTI,0.79410625
Splenium,NowLteDetuned,QTI,0.6743081
Splenium,NowLteDetuned,QTI,0.79029965
Splenium,NowLteDetuned,QTI,0.894127
Splenium,NowLteDetuned,QTI,0.9583343
Splenium,NowLteDetuned,QTI,0.9357971
Splenium,NowLteDetuned,QTI,0.91401577
Splenium,NowLteDetuned,QTI,0.90824974
Splenium,NowLteDetuned,QTI,0.86993444
Splenium,NowLteDetuned,QTI,0.7778727
Splenium,NowLteDetuned,QTI,0.73194796
Splenium,NowLteDetuned,QTI,0.8226421
Splenium,NowLteDetuned,QTI,0.95765924
Splenium,NowLteDetuned,QTI,0.9586168
Splenium,NowLteDetuned,QTI,0.9387216
Splenium,NowLteDetuned,QTI,0.8918202
Splenium,NowLteDetuned,QTI,0.8279508
Splenium,NowLteDetuned,QTI,0.7400653
Splenium,NowLteDetuned,QTI,0.7147038
Splenium,NowLteDetuned,QTI,0.76877373
Splenium,NowLteDetuned,QTI,0.9435827
Splenium,NowLteDetuned,QTI,0.96512026
Splenium,NowLteDetuned,QTI,0.93925965
Splenium,NowLteDetuned,QTI,0.8597285
Splenium,NowLteDetuned,QTI,0.7839257
Splenium,NowLteDetuned,QTI,0.7075354
Splenium,NowLteDetuned,QTI,0.70303553
Splenium,NowLteDetuned,QTI,0.7123959
Splenium,NowLteDetuned,QTI,0.9043408
Splenium,NowLteDetuned,QTI,0.9452212
Splenium,NowLteDetuned,QTI,0.90786666
Splenium,NowLteDetuned,QTI,0.80407417
Splenium,NowLteDetuned,QTI,0.73501045
Splenium,NowLteDetuned,QTI,0.6880624
Splenium,NowLteDetuned,QTI,0.69615483
Splenium,NowLteDetuned,QTI,0.5494769
Splenium,NowLteDetuned,QTI,0.7389916
Splenium,NowLteDetuned,QTI,0.86608654
Splenium,NowLteDetuned,QTI,0.86502165
Splenium,NowLteDetuned,QTI,0.77304614
Splenium,NowLteDetuned,QTI,0.71400017
Splenium,NowLteDetuned,QTI,0.67903936
Splenium,NowLteDetuned,QTI,0.6888204
Splenium,NowLteDetuned,QTI,0.7540281
Splenium,NowLteDetuned,QTI,0.7671665
Splenium,NowLteDetuned,QTI,0.8207661
Splenium,NowLteDetuned,QTI,0.77655005
Splenium,NowLteDetuned,QTI,0.7231469
Splenium,NowLteDetuned,QTI,0.6784747
Splenium,NowLteDetuned,QTI,0.67699015
Splenium,NowLteDetuned,QTI,0.679515
Splenium,NowLteDetuned,QTI,0.6982566
Splenium,NowLteDetuned,QTI,0.7041197
Splenium,NowLteDetuned,QTI,0.58868074
Splenium,NowLteDetuned,QTI,0.68649304
Splenium,NowLteDetuned,QTI,0.6773629
Splenium,NowLteDetuned,QTI,0.6657297
Splenium,NowLteDetuned,QTI,0.65523547
Splenium,NowLteDetuned,QTI,0.624284
Splenium,NowLteDetuned,QTI,0.49521387
