ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.04503426
Splenium,NowLteDetuned,QTI,0.023646703
Splenium,NowLteDetuned,QTI,0.02191785
Splenium,NowLteDetuned,QTI,0.020781461
Splenium,NowLteDetuned,QTI,0.016630549
Splenium,NowLteDetuned,QTI,0.01940259
Splenium,NowLteDetuned,QTI,0.030538041
Splenium,NowLteDetuned,QTI,0.04489874
Splenium,NowLteDetuned,QTI,0.059471805
Splenium,NowLteDetuned,QTI,0.110938214
Splenium,NowLteDetuned,QTI,0.071908355
Splenium,NowLteDetuned,QTI,0.042135067
Splenium,NowLteDetuned,QTI,0.02510708
Splenium,NowLteDetuned,QTI,0.017893074
Splenium,NowLteDetuned,QTI,0.024133813
Splenium,NowLteDetuned,QTI,0.035044137
Splenium,NowLteDetuned,QTI,0.04847651
Splenium,NowLteDetuned,QTI,0.06761074
Splenium,NowLteDetuned,QTI,0.08665786
Splenium,NowLteDetuned,QTI,0.069920555
Splenium,NowLteDetuned,QTI,0.04276649
Splenium,NowLteDetuned,QTI,0.07424797
Splenium,NowLteDetuned,QTI,0.08825486
Splenium,NowLteDetuned,QTI,0.055827428
Splenium,NowLteDetuned,QTI,0.034941394
Splenium,NowLteDetuned,QTI,0.026663832
Splenium,NowLteDetuned,QTI,0.023662716
Splenium,NowLteDetuned,QTI,0.029577818
Splenium,NowLteDetuned,QTI,0.040181074
Splenium,NowLteDetuned,QTI,0.055668786
Splenium,NowLteDetuned,QTI,0.078369826
Splenium,NowLteDetuned,QTI,0.10184303
Splenium,NowLteDetuned,QTI,0.08968945
Splenium,NowLteDetuned,QTI,0.06962262
Splenium,NowLteDetuned,QTI,0.03784829
Splenium,NowLteDetuned,QTI,0.05763273
Splenium,NowLteDetuned,QTI,0.05491109
Splenium,NowLteDetuned,QTI,0.02978526
Splenium,NowLteDetuned,QTI,0.023321062
Splenium,NowLteDetuned,QTI,0.033540476
Splenium,NowLteDetuned,QTI,0.03623165
Splenium,NowLteDetuned,QTI,0.037561756
Splenium,NowLteDetuned,QTI,0.041137423
Splenium,NowLteDetuned,QTI,0.049703795
Splenium,NowLteDetuned,QTI,0.06521498
Splenium,NowLteDetuned,QTI,0.080007665
Splenium,NowLteDetuned,QTI,0.068530515
Splenium,NowLteDetuned,QTI,0.05373947
Splenium,NowLteDetuned,QTI,0.045758545
Splenium,NowLteDetuned,QTI,0.048526607
Splenium,NowLteDetuned,QTI,0.078809366
Splenium,NowLteDetuned,QTI,0.08512334
Splenium,NowLteDetuned,QTI,0.07338911
Splenium,NowLteDetuned,QTI,0.059553802
Splenium,NowLteDetuned,QTI,0.056642633
Splenium,NowLteDetuned,QTI,0.061179064
Splenium,NowLteDetuned,QTI,0.050384566
Splenium,NowLteDetuned,QTI,0.04139617
Splenium,NowLteDetuned,QTI,0.05483817
Splenium,NowLteDetuned,QTI,0.06599581
Splenium,NowLteDetuned,QTI,0.13001545
Splenium,NowLteDetuned,QTI,0.1509968
Splenium,NowLteDetuned,QTI,0.11963691
Splenium,NowLteDetuned,QTI,0.07862567
Splenium,NowLteDetuned,QTI,0.06359502
Splenium,NowLteDetuned,QTI,0.055624772
Splenium,NowLteDetuned,QTI,0.04759667
Splenium,NowLteDetuned,QTI,0.042389642
Splenium,NowLteDetuned,QTI,0.05358325
Splenium,NowLteDetuned,QTI,0.07612408
Splenium,NowLteDetuned,QTI,0.11897681
Splenium,NowLteDetuned,QTI,0.1469082
Splenium,NowLteDetuned,QTI,0.15635942
Splenium,NowLteDetuned,QTI,0.1282619
Splenium,NowLteDetuned,QTI,0.083991855
Splenium,NowLteDetuned,QTI,0.053365618
Splenium,NowLteDetuned,QTI,0.049866274
Splenium,NowLteDetuned,QTI,0.050002545
Splenium,NowLteDetuned,QTI,0.060878772
Splenium,NowLteDetuned,QTI,0.09430415
Splenium,NowLteDetuned,QTI,0.16381884
Splenium,NowLteDetuned,QTI,0.20264727
Splenium,NowLteDetuned,QTI,0.10948332
Splenium,NowLteDetuned,QTI,0.053240277
Splenium,NowLteDetuned,QTI,0.058981888
Splenium,NowLteDetuned,QTI,0.07316726
Splenium,NowLteDetuned,QTI,0.105891235
Splenium,NowLteDetuned,QTI,0.14811893
Splenium,NowLteDetuned,QTI,0.2055032
Splenium,NowLteDetuned,QTI,0.23329374
Splenium,NowLteDetuned,QTI,0.11517851
Splenium,NowLteDetuned,QTI,0.06323612
Splenium,NowLteDetuned,QTI,0.07017091
Splenium,NowLteDetuned,QTI,0.09813236
Splenium,NowLteDetuned,QTI,0.15395412
Splenium,NowLteDetuned,QTI,0.20192964
Splenium,NowLteDetuned,QTI,0.24505135
Splenium,NowLteDetuned,QTI,0.26192862
Splenium,NowLteDetuned,QTI,0.11998857
Splenium,NowLteDetuned,QTI,0.08407274
Splenium,NowLteDetuned,QTI,0.084463336
Splenium,NowLteDetuned,QTI,0.124957144
Splenium,NowLteDetuned,QTI,0.20362501
Splenium,NowLteDetuned,QTI,0.2523413
Splenium,NowLteDetuned,QTI,0.27973098
Splenium,NowLteDetuned,QTI,0.27827725
Splenium,NowLteDetuned,QTI,0.14579621
Splenium,NowLteDetuned,QTI,0.12976953
Splenium,NowLteDetuned,QTI,0.11844072
Splenium,NowLteDetuned,QTI,0.15207875
Splenium,NowLteDetuned,QTI,0.22579801
Splenium,NowLteDetuned,QTI,0.2738303
Splenium,NowLteDetuned,QTI,0.30256408
Splenium,NowLteDetuned,QTI,0.29501116
