ROI,Sequence,Approach,FA
Splenium,dti,dti,0.40384787
Splenium,dti,dti,0.50783455
Splenium,dti,dti,0.60975915
Splenium,dti,dti,0.71007967
Splenium,dti,dti,0.7479243
Splenium,dti,dti,0.7597572
Splenium,dti,dti,0.75654155
Splenium,dti,dti,0.39020324
Splenium,dti,dti,0.52014184
Splenium,dti,dti,0.6259937
Splenium,dti,dti,0.7093639
Splenium,dti,dti,0.7764115
Splenium,dti,dti,0.7858102
Splenium,dti,dti,0.77165765
Splenium,dti,dti,0.77229327
Splenium,dti,dti,0.77545756
Splenium,dti,dti,0.749879
Splenium,dti,dti,0.7182065
Splenium,dti,dti,0.2791438
Splenium,dti,dti,0.46419948
Splenium,dti,dti,0.6054585
Splenium,dti,dti,0.69745284
Splenium,dti,dti,0.7565425
Splenium,dti,dti,0.79335344
Splenium,dti,dti,0.7863715
Splenium,dti,dti,0.7622079
Splenium,dti,dti,0.769051
Splenium,dti,dti,0.78149533
Splenium,dti,dti,0.77795434
Splenium,dti,dti,0.76773065
Splenium,dti,dti,0.70099306
Splenium,dti,dti,0.34565103
Splenium,dti,dti,0.53416467
Splenium,dti,dti,0.67523783
Splenium,dti,dti,0.7631117
Splenium,dti,dti,0.8074484
Splenium,dti,dti,0.8232063
Splenium,dti,dti,0.8008217
Splenium,dti,dti,0.7645061
Splenium,dti,dti,0.7702808
Splenium,dti,dti,0.78359514
Splenium,dti,dti,0.7853493
Splenium,dti,dti,0.7812026
Splenium,dti,dti,0.72477585
Splenium,dti,dti,0.6572745
Splenium,dti,dti,0.55120736
Splenium,dti,dti,0.29870862
Splenium,dti,dti,0.44096035
Splenium,dti,dti,0.603984
Splenium,dti,dti,0.73258084
Splenium,dti,dti,0.8236377
Splenium,dti,dti,0.8647308
Splenium,dti,dti,0.87370735
Splenium,dti,dti,0.83687854
Splenium,dti,dti,0.7846128
Splenium,dti,dti,0.7807374
Splenium,dti,dti,0.7850471
Splenium,dti,dti,0.7676733
Splenium,dti,dti,0.74653554
Splenium,dti,dti,0.69366807
Splenium,dti,dti,0.63277215
Splenium,dti,dti,0.54445463
Splenium,dti,dti,0.466747
Splenium,dti,dti,0.4001273
